city,gender,age,practice_traditional_food,health_factor
Makasar,Male,52,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,59,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,49,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,43,Disagree,Disagree
Makasar,Female,54,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,61,Disagree,Disagree
Makasar,Male,29,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,42,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,62,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,46,Agree,Agree
Makasar,Male,28,Disagree,Disagree
Makasar,Female,38,Agree,Agree
Makasar,Female,43,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,51,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,60,Strongly Agree,Strongly Agree
Makasar,Male,30,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,35,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,30,Agree,Agree
Makasar,Female,37,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,31,Strongly Agree,Strongly Agree
Makasar,Female,36,Agree,Agree
Makasar,Male,43,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,63,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,45,Neither agree nor disagree,Disagree
Makasar,Female,30,Neither agree nor disagree,Disagree
Makasar,Female,37,Disagree,Disagree
Makasar,Female,39,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,35,Strongly Agree,Disagree
Makasar,Female,31,Agree,Disagree
Makasar,Female,36,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,52,Disagree,Disagree
Makasar,Female,59,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,43,Agree,Disagree
Makasar,Male,30,Neither agree nor disagree,Disagree
Makasar,Male,38,Agree,Agree
Makasar,Male,30,Disagree,Disagree
Makasar,Male,34,Neither agree nor disagree,Agree
Makasar,Female,28,Neither agree nor disagree,Agree
Makasar,Male,36,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,45,Agree,Agree
Makasar,Male,59,Disagree,Disagree
Makasar,Female,41,Agree,Agree
Makasar,Female,62,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,40,Neither agree nor disagree,Strongly Disagree
Makasar,Female,26,Strongly Agree,Disagree
